date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-06-30_Q2,2255000000,498000000,1757000000,0.779157,0,585000000,0,0,929000000,1427000000,-191000000,344000000,805000000,0.356984,828000000,0.367184,15000000,652000000,0.289135,153000000,499000000,0.221286,0.65059,0.65059,767000000,767000000
2020-03-31_Q1,2855000000,646000000,2209000000,0.77373,0,687000000,0,0,1031000000,1677000000,-187000000,344000000,1170000000,0.409807,1178000000,0.412609,22000000,1013000000,0.354816,243000000,770000000,0.269702,0.99612,0.99612,773000000,773000000
2019-12-31_Q4,2885000000,652000000,2233000000,0.774003,0,759000000,0,-3283000000,1079000000,1731000000,-189000000,344000000,1136000000,0.393761,1154000000,0.4,16000000,981000000,0.340035,210000000,771000000,0.267244,0.99228,0.99228,777000000,777000000
2019-09-30_Q3,2978000000,638000000,2340000000,0.785762,0,742000000,0,1053000000,1053000000,1691000000,-186000000,338000000,1277000000,0.428811,1287000000,0.432169,24000000,1125000000,0.37777,269000000,856000000,0.287441,1.08081,1.08081,792000000,792000000
2019-06-30_Q2,3061000000,689000000,2372000000,0.77491,0,751000000,0,1108000000,1067000000,1756000000,-184000000,337000000,1299000000,0.424371,1305000000,0.426331,25000000,1146000000,0.374387,276000000,870000000,0.284221,1.07807,1.07807,807000000,807000000
2019-03-31_Q1,3013000000,711000000,2302000000,0.764023,0,772000000,0,1122000000,1083000000,1794000000,-178000000,330000000,1216000000,0.403584,1219000000,0.40458,23000000,1064000000,0.353136,230000000,834000000,0.276801,1.02081,1.02081,817000000,817000000
2018-12-31_Q4,3143000000,795000000,2348000000,0.747057,0,771000000,0,1216000000,1099000000,1894000000,-171000000,345000000,1272000000,0.404709,1249000000,0.397391,20000000,1098000000,0.349348,255000000,843000000,0.268215,1.00959,1.00959,834000000,834000000
2018-09-30_Q3,3129000000,742000000,2387000000,0.762864,0,784000000,0,1141000000,1094000000,1836000000,-162000000,334000000,1322000000,0.422499,1293000000,0.413231,19000000,1150000000,0.36753,256000000,894000000,0.285714,1.05,1.05,854000000,854000000
2018-06-30_Q2,3102000000,739000000,2363000000,0.761767,0,781000000,0,1150000000,1080000000,1819000000,-149000000,329000000,1324000000,0.426821,1283000000,0.413604,18000000,1144000000,0.368794,267000000,877000000,0.282721,1.01,1.01,868000000,868000000
2018-03-31_Q1,2876000000,737000000,2139000000,0.743741,0,797000000,0,1136000000,1095000000,1832000000,149000000,323000000,1384000000,0.481224,1044000000,0.363004,17000000,912000000,0.317107,217000000,695000000,0.241655,0.78,0.78,888000000,888000000
2017-12-31_Q4,2863000000,783000000,2080000000,0.726511,0,844000000,0,1077000000,991000000,1774000000,140000000,337000000,4966000000,1.734544,1089000000,0.38037,34000000,983000000,0.343346,349000000,4140000000,1.446036,0.73,0.73,899000000,899000000
2017-09-30_Q3,2743000000,721000000,2022000000,0.737149,0,814000000,0,1150000000,1146000000,1867000000,269000000,331000000,1350000000,0.492162,876000000,0.319358,6000000,750000000,0.273423,291000000,459000000,0.167335,0.51,0.51,906000000,906000000
2017-06-30_Q2,2933000000,694000000,2239000000,0.763382,0,856000000,0,1232000000,1289000000,1983000000,-137000000,327000000,1017000000,0.346744,950000000,0.3239,14000000,827000000,0.281964,317000000,510000000,0.173883,0.63,0.63,924000000,924000000
2017-03-31_Q1,2869000000,789000000,2080000000,0.724991,0,894000000,0,1368000000,1374000000,2163000000,137000000,320000000,1039000000,0.362147,706000000,0.246079,13000000,582000000,0.202858,220000000,362000000,0.126176,0.51,0.51,929000000,929000000
2016-12-30_Q4,3037000000,710000000,2327000000,0.766217,0,975000000,0,1181000000,1438000000,2148000000,156000000,348000000,1255000000,0.413237,889000000,0.292723,18000000,751000000,0.247284,293000000,458000000,0.150807,0.57,0.57,933000000,933000000
2016-09-23_Q3,2710000000,681000000,2029000000,0.748708,0,867000000,0,1107000000,1188000000,1869000000,139000000,321000000,1175000000,0.433579,841000000,0.310332,13000000,715000000,0.263838,260000000,455000000,0.167897,0.48,0.48,943000000,943000000
2016-06-24_Q2,2704000000,691000000,2013000000,0.744453,0,854000000,0,1115000000,1173000000,1864000000,141000000,319000000,1167000000,0.431583,840000000,0.310651,8000000,707000000,0.261464,262000000,445000000,0.164571,0.47,0.47,952000000,952000000
2016-03-25_Q1,2618000000,700000000,1918000000,0.73262,0,901000000,0,1118000000,1214000000,1914000000,143000000,313000000,1024000000,0.391138,704000000,0.268908,7000000,568000000,0.21696,212000000,356000000,0.135982,0.37,0.37,963000000,963000000
2015-12-25_Q4,2781000000,771000000,2010000000,0.722762,0,907000000,0,1191000000,1219000000,1990000000,140000000,312000000,1193000000,0.428982,791000000,0.28443,90000000,741000000,0.266451,275000000,466000000,0.167566,0.48,0.48,975000000,975000000
2015-09-25_Q3,2939000000,803000000,2136000000,0.726778,0,901000000,0,3746000000,1203000000,2006000000,136000000,302000000,1237000000,0.420891,933000000,0.317455,2000000,799000000,0.271861,292000000,507000000,0.172508,0.52,0.52,982000000,982000000
2015-06-26_Q2,3064000000,822000000,2242000000,0.731723,0,926000000,0,0,1225000000,2047000000,134000000,299000000,1320000000,0.430809,1017000000,0.331919,4000000,887000000,0.289491,334000000,553000000,0.180483,0.56,0.56,989000000,989000000
2015-03-27_Q1,3027000000,897000000,2130000000,0.703667,0,992000000,0,0,1287000000,2184000000,134000000,295000000,1140000000,0.376611,843000000,0.278494,2000000,711000000,0.234886,269000000,442000000,0.146019,0.45,0.45,992000000,992000000
2014-12-26_Q4,3192000000,985000000,2207000000,0.691416,0,1016000000,0,7000000,1306000000,2291000000,133000000,290000000,1198000000,0.375313,901000000,0.282268,7000000,775000000,0.242794,284000000,491000000,0.153822,0.49,0.49,996000000,996000000
2014-09-26_Q3,3221000000,1003000000,2218000000,0.688606,0,951000000,0,-26000000,1242000000,2245000000,137000000,291000000,1241000000,0.385284,976000000,0.303011,-26000000,813000000,0.252406,304000000,509000000,0.158025,0.51,0.51,999000000,999000000
2014-06-27_Q2,3244000000,1037000000,2207000000,0.680333,0,923000000,0,-5000000,1210000000,2247000000,135000000,287000000,1272000000,0.392109,997000000,0.307337,-12000000,850000000,0.262022,321000000,529000000,0.16307,0.53,0.53,1004000000,1004000000
2014-03-28_Q1,3012000000,1075000000,1937000000,0.643094,0,915000000,0,0,1198000000,2273000000,140000000,283000000,1029000000,0.341633,739000000,0.245352,7000000,606000000,0.201195,208000000,398000000,0.132138,0.39,0.39,1008000000,1008000000
2013-12-27_Q4,3000000000,1040000000,1960000000,0.653333,0,898000000,0,0,1179000000,2219000000,139000000,281000000,1062000000,0.354,781000000,0.260333,0,642000000,0.214,235000000,407000000,0.135667,0.4,0.4,1013000000,1013000000
2013-09-27_Q3,2985000000,983000000,2002000000,0.670687,0,885000000,0,-191000000,1162000000,2145000000,136000000,277000000,1122000000,0.375879,840000000,0.281407,5000000,709000000,0.237521,254000000,455000000,0.152429,0.45,0.45,1018000000,1018000000
2013-06-28_Q2,3046000000,957000000,2089000000,0.685817,0,873000000,0,96000000,1149000000,2106000000,140000000,276000000,1225000000,0.402167,940000000,0.308601,9000000,809000000,0.265594,288000000,521000000,0.171044,0.51,0.51,1023000000,1023000000
2013-03-29_Q1,2963000000,951000000,2012000000,0.679042,0,862000000,0,95000000,1132000000,2083000000,147000000,270000000,1147000000,0.387108,880000000,0.296996,-3000000,730000000,0.246372,268000000,462000000,0.155923,0.45,0.45,1023000000,1023000000
2012-12-28_Q4,2891000000,960000000,1931000000,0.667935,0,849000000,0,97000000,1120000000,2080000000,145000000,271000000,1141000000,0.394673,811000000,0.280526,58000000,725000000,0.250778,278000000,447000000,0.154618,0.43,0.43,1028000000,1028000000
2012-09-28_Q3,2894000000,952000000,1942000000,0.671044,0,850000000,0,96000000,1088000000,2040000000,138000000,268000000,1127000000,0.389426,854000000,0.295093,4000000,721000000,0.249136,266000000,455000000,0.157222,0.42,0.42,1040000000,1040000000
2012-06-29_Q2,3012000000,960000000,2052000000,0.681275,0,846000000,0,102000000,1109000000,2069000000,-129000000,263000000,943000000,0.313081,943000000,0.313081,4000000,809000000,0.268592,297000000,512000000,0.169987,0.49,0.49,1043000000,1043000000
2012-03-30_Q1,2966000000,986000000,1980000000,0.667566,0,867000000,0,97000000,1124000000,2110000000,-142000000,257000000,831000000,0.280175,856000000,0.288604,2000000,716000000,0.241403,267000000,449000000,0.151382,0.43,0.43,1049000000,1049000000
2011-12-30_Q4,3003000000,1003000000,2000000000,0.666001,0,871000000,0,92000000,1107000000,2110000000,140000000,236000000,1140000000,0.37962,893000000,0.297369,9000000,764000000,0.254412,275000000,489000000,0.162837,0.46,0.46,1055200000,1055200000
2011-09-30_Q3,2963000000,974000000,1989000000,0.671279,0,860000000,0,95000000,1111000000,2085000000,138000000,251000000,1135000000,0.383058,878000000,0.296321,5000000,746000000,0.251772,282000000,464000000,0.156598,0.43,0.43,1077000000,1077000000
2011-07-01_Q2,3019000000,988000000,2031000000,0.672739,0,859000000,0,-1080000000,1105000000,2093000000,134000000,246000000,1172000000,0.388208,926000000,0.306724,-1000000,792000000,0.262339,286000000,506000000,0.167605,0.46,0.46,1109000000,1109000000
2011-04-01_Q1,2810000000,932000000,1878000000,0.668327,0,862000000,0,1272000000,1105000000,2037000000,140000000,243000000,1021000000,0.363345,773000000,0.275089,4000000,638000000,0.227046,243000000,395000000,0.140569,0.35,0.35,1114800000,1114800000
2010-12-31_Q4,2816000000,845000000,1971000000,0.699929,0,871000000,0,4608000000,1127000000,1972000000,538100000,257000000,1494100000,0.530575,844000000,0.299716,2000000,699000000,0.248224,270000000,429000000,0.152344,0.38,0.38,1128400000,1128400000
2010-09-24_Q3,2666000000,788000000,1878000000,0.704426,0,821000000,0,0,1053000000,1841000000,131000000,232000000,1065000000,0.399475,825000000,0.309452,7000000,702000000,0.263316,288000000,414000000,0.155289,0.36,0.36,1145500000,1145500000
2010-06-25_Q2,2663000000,855000000,1808000000,0.678934,0,810000000,0,0,1040000000,1895000000,135000000,229000000,1006000000,0.377769,768000000,0.288397,7000000,642000000,0.241081,228000000,414000000,0.155464,0.36,0.36,1159200000,1159200000
2010-03-26_Q1,2491000000,799000000,1692000000,0.679245,0,829000000,0,0,1058000000,1857000000,142000000,229000000,874000000,0.350863,634000000,0.254516,10000000,503000000,0.201927,197000000,306000000,0.122842,0.26,0.26,1183000000,1183000000
2009-12-25_Q4,2320000000,762000000,1558000000,0.671552,0,748000000,0,0,975000000,1737000000,138000000,228000000,826000000,0.356034,583000000,0.251293,13000000,460000000,0.198276,155000000,305000000,0.131466,0.26,0.26,1190800000,1190800000
2009-09-25_Q3,2289000000,723000000,1566000000,0.684142,0,745000000,0,0,972000000,1695000000,140000000,224000000,824000000,0.359983,594000000,0.259502,4000000,460000000,0.200961,170000000,290000000,0.126693,0.24,0.24,1189000000,1189000000
2009-06-26_Q2,2185000000,632000000,1553000000,0.710755,0,752000000,0,9000000,978000000,1610000000,139000000,227000000,835000000,0.382151,575000000,0.263158,7000000,446000000,0.204119,165000000,304000000,0.13913,0.24,0.24,1182900000,1182900000
2009-03-27_Q1,2247000000,726000000,1521000000,0.676903,0,775000000,0,-9000000,999000000,1725000000,141000000,224000000,741000000,0.329773,522000000,0.23231,-1000000,384000000,0.170895,130000000,246000000,0.109479,0.21,0.21,1182300000,1182300000
2008-12-26_Q4,2674000000,935000000,1739000000,0.650337,0,819000000,0,1982000000,1047000000,1982000000,136000000,228000000,812000000,0.303665,692000000,0.258788,0,562000000,0.210172,201000000,247000000,0.092371,0.3,0.3,1187000000,1187000000
2008-09-26_Q3,2961000000,1141000000,1820000000,0.614657,0,860000000,0,2228000000,1087000000,2228000000,131000000,230000000,970000000,0.327592,733000000,0.247552,-13000000,607000000,0.204998,227000000,382000000,0.12901,0.31,0.31,1221900000,1221900000
2008-06-27_Q2,2907000000,1118000000,1789000000,0.615411,0,845000000,0,2190000000,1072000000,2190000000,133000000,231000000,958000000,0.329549,717000000,0.246646,4000000,601000000,0.206742,209000000,385000000,0.132439,0.31,0.31,1245300000,1245300000
2008-03-28_Q1,2713000000,1009000000,1704000000,0.628087,0,856000000,0,2087000000,1078000000,2087000000,119000000,225000000,912000000,0.336159,626000000,0.230741,72000000,579000000,0.213417,217000000,351000000,0.129377,0.29,0.29,1245600000,1245600000
2007-12-28_Q4,2577000000,889000000,1688000000,0.655025,0,871000000,0,1968000000,1083000000,1972000000,115000000,224000000,909000000,0.352736,605000000,0.234769,80000000,570000000,0.221187,205000000,365000000,0.141638,0.28,0.28,1276400000,1276400000
2007-09-28_Q3,2501000000,861000000,1640000000,0.655738,0,862000000,0,1946000000,1082000000,1943000000,102000000,218000000,900000000,0.359856,558000000,0.223111,1000000,470000000,0.187925,173000000,407000000,0.162735,0.22,0.22,1336600000,1336600000
2007-06-29_Q2,2530000000,846000000,1684000000,0.665613,0,850000000,0,1926000000,1072000000,1918000000,101000000,223000000,838000000,0.331225,612000000,0.241897,-12000000,514000000,0.203162,190000000,324000000,0.128063,0.24,0.24,1376800000,1376800000
2007-03-30_Q1,2422000000,880000000,1542000000,0.636664,0,854000000,0,1934000000,1057000000,1937000000,99000000,225000000,702000000,0.289843,485000000,0.200248,-21000000,378000000,0.156069,138000000,240000000,0.099092,0.17,0.17,1389500000,1389500000
2006-12-29_Q4,2396000000,825000000,1571000000,0.655676,0,875000000,0,1889000000,1064000000,1889000000,99000000,219000000,788000000,0.328881,507000000,0.211603,8000000,470000000,0.19616,123000000,347000000,0.144825,0.22,0.22,1390600000,1390600000
2006-09-29_Q3,2418000000,859000000,1559000000,0.644748,0,871000000,0,1929000000,1070000000,1929000000,97000000,218000000,732000000,0.30273,489000000,0.202233,20000000,417000000,0.172457,89000000,328000000,0.135649,0.23,0.23,1396900000,1396900000
2006-06-30_Q2,2421000000,836000000,1585000000,0.654688,0,849000000,0,1775000000,939000000,1775000000,98000000,218000000,875000000,0.361421,646000000,0.266832,7000000,559000000,0.230896,169000000,390000000,0.16109,0.21,0.21,1410600000,1410600000
2006-03-31_Q1,2331000000,782000000,1549000000,0.664522,0,842000000,0,1835000000,1053000000,1835000000,98000000,212000000,705000000,0.302445,496000000,0.212784,-7000000,395000000,0.169455,150000000,245000000,0.105105,0.18,0.18,1393100000,1393100000
